Institution,Star-category,Sustainability Coordination (%),Sustainability Planning (%),Inclusive and Participatory Governance (%),Reporting Assurance (%),Diversity and Equity Coordination (%),Assessing Diversity and Equity (%),Support for Underrepresented Groups (%),Affordability and Access (%),Committee on Investor Responsibility (%),Sustainable Investment (%),Investment Disclosure (%),Employee Compensation (%),Assessing Employee Satisfaction (%),Wellness Program (%),Workplace Health and Safety (%)
Sonoma State University,bronze,100,0,83.33,0,100,50,100,50,0,0,0,1.67,50,100,14.5
San Jose State University,gold,100,83.25,66.67,0,100,100,100,78,0,8.25,100,38.33,100,100,50.5
San Francisco State University,silver,100,68.75,58.33,0,89,100,97.33,78.25,50,43.25,0,0,0,100,46
San Diego State University,silver,100,37.5,75,0,89,88,64,34.5,0,0,0,57.67,50,100,47
Humboldt State University,gold,100,100,66.67,0,78,100,100,74,100,41.25,75,41,100,100,39.5
"California State University, San Marcos",silver,100,93.75,66.67,0,66.5,75,100,25,0,0,0,29.67,42,100,56
"California State University, Sacramento",gold,100,100,66.67,0,100,75,100,52.5,0,0,0,50,100,100,24.5
"California State University, Northridge",gold,100,93.75,58.33,0,66.5,100,97.33,100,0,8.25,75,38,100,100,34
"California State University, Monterey Bay",silver,100,93.75,66.67,0,72,75,77.67,70,0,8.25,0,0,100,100,42.5
"California State University, Los Angeles",silver,100,79.25,100,0,87.5,75,100,80,0,8.5,0,100,50,100,40.5
"California State University, Long Beach",silver,100,87.5,75,0,66.5,75,83.33,73.5,0,8.25,0,0,0,100,42
"California State University, Fullerton",silver,100,68.75,66.67,0,66.5,0,100,75,0,0,0,39.67,33,100,36
"California State University, East Bay",bronze,100,62.5,41.67,0,66.5,75,36,45.75,0,33.25,0,0,0,100,40.5
"California State University, Dominguez Hills",bronze,100,75,33.33,0,83.5,100,100,25,0,0,0,0,0,100,32.5
"California State University, Chico",gold,100,100,91.67,0,78,75,94.33,53,0,33.25,0,60,55,100,35
"California State University, Channel Islands",gold,100,79.25,100,0,100,75,100,45,0,0,0,42.67,45,100,66.5
"California State University, Bakersfield",silver,100,81.25,91.67,0,94.5,0,61,12.5,0,0,0,31,0,100,81.5
"California State Polytechnic University, Pomona",silver,100,62.5,16.67,0,66.5,0,52.67,25,0,0,0,0,0,100,0
California Polytechnic State University,silver,100,87.5,33.33,0,66.5,100,61,58.25,0,0,0,29.33,29,100,25.5
